PORT     STATE SERVICE            REASON
6911/tcp open  unknown            syn-ack
6912/tcp open  unknown            syn-ack
6913/tcp open  unknown            syn-ack
6914/tcp open  unknown            syn-ack
6915/tcp open  unknown            syn-ack
6916/tcp open  unknown            syn-ack
6917/tcp open  unknown            syn-ack
6918/tcp open  unknown            syn-ack
6919/tcp open  unknown            syn-ack
6920/tcp open  unknown            syn-ack
6921/tcp open  unknown            syn-ack
6922/tcp open  unknown            syn-ack
6923/tcp open  unknown            syn-ack
6924/tcp open  unknown            syn-ack
6925/tcp open  unknown            syn-ack
6926/tcp open  unknown            syn-ack
6927/tcp open  unknown            syn-ack
6928/tcp open  unknown            syn-ack
6929/tcp open  unknown            syn-ack
6930/tcp open  unknown            syn-ack
6931/tcp open  unknown            syn-ack
6932/tcp open  unknown            syn-ack
6933/tcp open  unknown            syn-ack
6934/tcp open  unknown            syn-ack
6935/tcp open  ethoscan           syn-ack
6936/tcp open  xsmsvc             syn-ack
6937/tcp open  unknown            syn-ack
6938/tcp open  unknown            syn-ack
6939/tcp open  unknown            syn-ack
6940/tcp open  unknown            syn-ack
6941/tcp open  unknown            syn-ack
6942/tcp open  unknown            syn-ack
6943/tcp open  unknown            syn-ack
6944/tcp open  unknown            syn-ack
6945/tcp open  unknown            syn-ack
6946/tcp open  bioserver          syn-ack
6947/tcp open  unknown            syn-ack
6948/tcp open  unknown            syn-ack
6949/tcp open  unknown            syn-ack
6950/tcp open  unknown            syn-ack
6951/tcp open  otlp               syn-ack
6952/tcp open  unknown            syn-ack
6953/tcp open  unknown            syn-ack
6954/tcp open  unknown            syn-ack
6955/tcp open  unknown            syn-ack
6956/tcp open  unknown            syn-ack
6957/tcp open  unknown            syn-ack
6958/tcp open  unknown            syn-ack
6959/tcp open  unknown            syn-ack
6960/tcp open  unknown            syn-ack
6961/tcp open  jmact3             syn-ack
6962/tcp open  jmevt2             syn-ack
6963/tcp open  swismgr1           syn-ack
6964/tcp open  swismgr2           syn-ack
6965/tcp open  swistrap           syn-ack
6966/tcp open  swispol            syn-ack
6967/tcp open  unknown            syn-ack
6968/tcp open  unknown            syn-ack
6969/tcp open  acmsoda            syn-ack
6970/tcp open  conductor          syn-ack
6971/tcp open  unknown            syn-ack
6972/tcp open  unknown            syn-ack
6973/tcp open  unknown            syn-ack
6974/tcp open  unknown            syn-ack
6975/tcp open  unknown            syn-ack
6976/tcp open  unknown            syn-ack
6977/tcp open  unknown            syn-ack
6978/tcp open  unknown            syn-ack
6979/tcp open  unknown            syn-ack
6980/tcp open  unknown            syn-ack
6981/tcp open  unknown            syn-ack
6982/tcp open  unknown            syn-ack
6983/tcp open  unknown            syn-ack
6984/tcp open  unknown            syn-ack
6985/tcp open  unknown            syn-ack
6986/tcp open  unknown            syn-ack
6987/tcp open  unknown            syn-ack
6988/tcp open  unknown            syn-ack
6989/tcp open  unknown            syn-ack
6990/tcp open  unknown            syn-ack
6991/tcp open  unknown            syn-ack
6992/tcp open  unknown            syn-ack
6993/tcp open  unknown            syn-ack
6994/tcp open  unknown            syn-ack
6995/tcp open  unknown            syn-ack
6996/tcp open  unknown            syn-ack
6997/tcp open  MobilitySrv        syn-ack
